title;desc;author;bookcase
The Catcher in the Rye;A story of teenage rebellion, alienation, and existential confusion. The novel follows Holden Caulfield as he reflects on his life and struggles with the transition from adolescence to adulthood.;J.D. Salinger;2
The Catcher in the Rye;A story of teenage rebellion, alienation, and existential confusion. The novel follows Holden Caulfield as he reflects on his life and struggles with the transition from adolescence to adulthood.;J.D. Salinger;2
The Catcher in the Rye;A story of teenage rebellion, alienation, and existential confusion. The novel follows Holden Caulfield as he reflects on his life and struggles with the transition from adolescence to adulthood.;J.D. Salinger;2
The Catcher in the Rye;A story of teenage rebellion, alienation, and existential confusion. The novel follows Holden Caulfield as he reflects on his life and struggles with the transition from adolescence to adulthood.;J.D. Salinger;
The Catcher in the Rye;A story of teenage rebellion, alienation, and existential confusion. The novel follows Holden Caulfield as he reflects on his life and struggles with the transition from adolescence to adulthood.;J.D. Salinger;2
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
1984;A dystopian novel by George Orwell that explores the dangers of totalitarianism. It takes place in a society ruled by a figurehead known as Big Brother, where personal freedom is obliterated.;George Orwell;
